13000_sock0,13000_sock1,10000_sock0,10000_sock1,7000_sock0,7000_sock1
   48.33,10359.92,  190.47, 7826.08,,
   81.64,10349.38,  248.57, 9033.24,,
  138.03,10504.06,  159.58, 8908.97,,
   63.30, 9504.66,   74.50, 9493.35,,
   53.74, 8828.30,   69.91,10477.60,,
   51.94, 8768.97,   68.47,10475.76,,
   60.21, 8612.00,   45.05, 8924.01,,
   68.06, 9076.06,   67.70, 7974.54,,
  107.74, 8274.80,   98.49, 9088.99,,
   69.30, 9908.85,   58.54, 8474.04,,
   62.77,10363.84,   67.28, 9974.38,,
  113.15, 9610.34,   70.66, 8691.13,,
  155.82,11380.30,  187.60, 9633.27,,
   92.74,11538.21,   89.33,10795.37,,
   87.24,12924.67,   66.44, 9315.36,,
   69.34,11198.42,  149.83, 9541.49,,
   84.49,10115.39,   69.54, 9117.70,,
   72.32, 9745.37,  118.88, 9840.54,,
  273.45,12023.35,  163.24, 9754.41,,
   53.65,13367.49,   70.15, 8614.97,,
   76.16,10577.71,   53.26, 9360.25,,
   91.77, 9889.12,   92.57, 8121.67,,
  141.17, 9876.58,  104.32, 8885.07,,
   70.09, 9295.38,  118.43,10774.73,,
   51.23, 8998.75,   55.50,10184.01,,
  114.81, 9676.52,   74.04, 8298.45,,
   72.54,10465.43,   54.20, 7282.59,,
   72.80,11154.88,   56.65, 8520.43,,
  150.73,11189.51,  106.21, 7763.76,,
  141.78,11286.11,   53.65, 7796.45,,
   98.42,10088.98,  176.06, 7092.24,,
  120.77,11624.85,   96.90,10920.73,,
  171.99,12498.65,   57.71, 9146.77,,
  101.69,13592.43,  155.90,11490.60,,
   68.49,12065.66,   75.85, 8918.29,,
   74.69,10946.19,  109.57, 8649.88,,
   70.30,10752.71,   58.88,11112.18,,
   50.83,12742.65,   88.86, 9109.13,,
   95.12,10836.86,  311.48, 8715.94,,
   47.81, 9784.95,  101.10, 8189.85,,
   60.21,12739.16,   55.28, 8247.82,,
  119.26,12707.50,   99.11, 9908.65,,
  118.59,10953.68,   70.33, 7283.98,,
  105.52, 9478.82,  134.48, 9232.16,,
   48.93, 9251.17,  101.12, 8791.84,,
   72.73, 8989.04,   56.47, 8236.29,,
   62.81, 9740.20,   48.88, 8251.62,,
   77.58,10286.08,   98.86, 7684.65,,
   87.99,11901.15,   89.11,10853.77,,
  231.66,12359.73,  102.91,  336.52,,
   56.26,10612.06,   72.41,   70.76,,
   84.65, 9848.48,   48.91,   78.43,,
   61.44,13311.36,   19.48,   45.41,,
  162.02,11320.53,   86.56,  130.34,,
   68.12,10682.18,   61.89,  105.32,,
   60.68,10663.70,   54.24,   74.83,,
  147.24,11512.91,   24.89,   32.50,,
  118.61,11375.97,   48.76,   58.94,,
   91.18,11155.90,,,,
   52.27,10108.16,,,,
   56.97, 9573.18,,,,
   93.48, 9615.10,,,,
   53.43, 9867.20,,,,
  206.85, 9797.88,,,,
   80.61, 9745.75,,,,
   43.96, 9318.15,,,,
   76.08, 9130.13,,,,
  144.68,12011.91,,,,
  245.13,11337.70,,,,
   94.85,10793.11,,,,
   76.17, 9815.84,,,,
   84.39, 8621.21,,,,
   60.39, 9244.20,,,,
  165.02,10627.79,,,,
   72.51,11847.41,,,,
   61.46, 8503.60,,,,
   85.83, 8813.90,,,,
   61.61, 9073.13,,,,
   64.45,11227.95,,,,
  107.41,11453.29,,,,
  159.22,10440.97,,,,
  141.99,12865.62,,,,
   89.46,11444.18,,,,
  166.36, 9820.50,,,,
   93.91, 9875.91,,,,
   53.27, 8989.44,,,,
   73.39, 8708.76,,,,
   74.15, 7973.92,,,,
   88.29, 7660.47,,,,
   67.88, 8180.95,,,,
  206.74, 7256.45,,,,
   85.75, 6974.49,,,,
   72.57, 7138.68,,,,
  164.98, 8827.38,,,,
   64.14,11463.50,,,,
   72.10,10298.64,,,,
   80.51, 8753.53,,,,
  202.48, 8941.15,,,,
   65.45, 9294.73,,,,
   46.54, 9488.64,,,,
   67.09, 9125.59,,,,
   77.98, 9506.41,,,,
   73.17, 9579.84,,,,
   85.11, 9659.67,,,,
  106.94,10323.72,,,,
   59.90,11672.04,,,,
   76.91,12114.35,,,,
   91.39,12584.77,,,,
   74.93,12810.46,,,,
   60.25, 9680.52,,,,
   75.07,11208.09,,,,
   94.78,10193.35,,,,
   52.35, 9091.70,,,,
  100.24, 9581.30,,,,
  199.43,10222.46,,,,
   65.39, 8283.30,,,,
   59.59, 9463.95,,,,
  247.82,10308.51,,,,
  196.32,10935.75,,,,
   62.83, 9201.42,,,,
  108.89,10180.16,,,,
   53.49, 8858.25,,,,
   58.00, 9247.73,,,,
   39.82, 8736.77,,,,
  139.64, 9639.02,,,,
  106.62,10072.51,,,,
  101.14,10230.03,,,,
  363.36, 8891.40,,,,
   89.88, 8214.94,,,,
  155.44, 6997.77,,,,
  120.20, 8476.56,,,,
  158.36, 7972.28,,,,
   74.01, 8173.98,,,,
   97.71, 8316.27,,,,
  153.04,10056.10,,,,
   85.11,10446.02,,,,
   74.07,11569.17,,,,
   73.12, 9868.74,,,,
   55.20,11232.60,,,,
   63.73, 9995.19,,,,
   88.07,10665.14,,,,
   60.57,10469.85,,,,
   58.52, 9112.52,,,,
   50.98, 8991.10,,,,
  157.67, 9982.58,,,,
   99.12, 9051.95,,,,
   84.09, 8886.41,,,,
   97.63,10505.82,,,,
  150.73,10635.63,,,,
  172.80,11524.88,,,,
   84.97,10259.73,,,,
   59.53,10163.81,,,,
   66.18, 9641.35,,,,
   84.36, 9958.33,,,,
  158.38,10011.41,,,,
   73.02,12055.04,,,,
   68.07, 9952.21,,,,
  107.18,10134.47,,,,
   56.15,10258.75,,,,
   56.52,11550.92,,,,
  305.78,11862.21,,,,
   94.90,12112.92,,,,
   92.05,11957.60,,,,
   60.59,10523.53,,,,
  113.16,10508.13,,,,
   95.07, 9721.99,,,,
   72.17,10708.07,,,,
  275.13,12260.26,,,,
   98.31,10629.03,,,,
   90.36, 9842.02,,,,
   92.95,10020.64,,,,
   82.18,10402.31,,,,
   76.56,10853.62,,,,
   60.92,13258.07,,,,
   67.30,12037.87,,,,
  162.02,11059.45,,,,
   69.53,11393.94,,,,
   82.54,10587.10,,,,
   95.05,11348.85,,,,
  128.04,11152.81,,,,
  115.00,11820.62,,,,
  167.74,10555.27,,,,
  136.65,11417.53,,,,
   69.61,12101.90,,,,
   92.46,11044.47,,,,
  148.48, 9287.86,,,,
   82.09,11109.99,,,,
  111.74,11483.99,,,,
   62.70,11539.22,,,,
   67.22,12126.47,,,,
   98.61,11821.34,,,,
   76.93,11834.65,,,,
   78.28,13868.58,,,,
   62.50,11939.31,,,,
   84.51,10202.96,,,,
  134.98, 9069.73,,,,
   62.92, 8068.39,,,,
   83.07, 8203.91,,,,
   50.14, 9020.87,,,,
   61.18,10714.18,,,,
   93.57,10294.32,,,,
